Steppingstone sampler:
        No Stones:                  100
        Start It:                   100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-1.597644	-1.597644
1	0.950747	7500	-1.584036	-3.181679
2	0.926679	7500	-1.571576	-4.753255
3	0.902980	7500	-1.550762	-6.304017
4	0.879648	7500	-1.522987	-7.827004
5	0.856682	7500	-1.512175	-9.339179
6	0.834079	7500	-1.488345	-10.827524
7	0.811838	7500	-1.467835	-12.295359
8	0.789957	7500	-1.437965	-13.733324
9	0.768433	7500	-1.429758	-15.163083
10	0.747266	7500	-1.415456	-16.578539
11	0.726452	7500	-1.394136	-17.972675
12	0.705989	7500	-1.369826	-19.342501
13	0.685877	7500	-1.360206	-20.702707
14	0.666112	7500	-1.334187	-22.036894
15	0.646693	7500	-1.307836	-23.344730
16	0.627618	7500	-1.304676	-24.649406
17	0.608884	7500	-1.280846	-25.930252
18	0.590490	7500	-1.263362	-27.193615
19	0.572433	7500	-1.250545	-28.444160
20	0.554712	7500	-1.236799	-29.680959
21	0.537324	7500	-1.215803	-30.896762
22	0.520268	7500	-1.189780	-32.086543
23	0.503540	7500	-1.173778	-33.260321
24	0.487139	7500	-1.159909	-34.420230
25	0.471063	7500	-1.131459	-35.551689
26	0.455310	7500	-1.135238	-36.686927
27	0.439877	7500	-1.109474	-37.796401
28	0.424762	7500	-1.085130	-38.881531
29	0.409963	7500	-1.070844	-39.952375
30	0.395478	7500	-1.047478	-40.999853
31	0.381305	7500	-1.035056	-42.034909
32	0.367440	7500	-1.019057	-43.053965
33	0.353883	7500	-1.002773	-44.056739
34	0.340630	7500	-0.971873	-45.028612
35	0.327680	7500	-0.952263	-45.980875
36	0.315030	7500	-0.942668	-46.923543
37	0.302677	7500	-0.923597	-47.847140
38	0.290619	7500	-0.907139	-48.754278
39	0.278855	7500	-0.893422	-49.647700
40	0.267381	7500	-0.870245	-50.517945
41	0.256195	7500	-0.853356	-51.371301
42	0.245294	7500	-0.834151	-52.205452
43	0.234677	7500	-0.820328	-53.025780
44	0.224340	7500	-0.806575	-53.832356
45	0.214281	7500	-0.786709	-54.619064
46	0.204498	7500	-0.777137	-55.396201
47	0.194988	7500	-0.756427	-56.152628
48	0.185749	7500	-0.739433	-56.892061
49	0.176777	7500	-0.715117	-57.607178
50	0.168070	7500	-0.704052	-58.311230
51	0.159626	7500	-0.692259	-59.003489
52	0.151441	7500	-0.671185	-59.674674
53	0.143514	7500	-0.658760	-60.333433
54	0.135841	7500	-0.635922	-60.969356
55	0.128420	7500	-0.627640	-61.596996
56	0.121247	7500	-0.608306	-62.205303
57	0.114320	7500	-0.592967	-62.798270
58	0.107637	7500	-0.571171	-63.369440
59	0.101193	7500	-0.557562	-63.927003
60	0.094986	7500	-0.527353	-64.454356
61	0.089014	7500	-0.521475	-64.975831
62	0.083273	7500	-0.509787	-65.485618
63	0.077760	7500	-0.495572	-65.981190
64	0.072472	7500	-0.481723	-66.462913
65	0.067406	7500	-0.455527	-66.918440
66	0.062558	7500	-0.444063	-67.362503
67	0.057926	7500	-0.419705	-67.782208
68	0.053506	7500	-0.411797	-68.194005
69	0.049295	7500	-0.390539	-68.584544
70	0.045289	7500	-0.381847	-68.966391
71	0.041485	7500	-0.361874	-69.328265
72	0.037880	7500	-0.340080	-69.668345
73	0.034469	7500	-0.329339	-69.997684
74	0.031250	7500	-0.309183	-70.306868
75	0.028218	7500	-0.299748	-70.606616
76	0.025370	7500	-0.283367	-70.889983
77	0.022702	7500	-0.263102	-71.153085
78	0.020209	7500	-0.253320	-71.406405
79	0.017889	7500	-0.237871	-71.644275
80	0.015736	7500	-0.218092	-71.862367
81	0.013746	7500	-0.200454	-72.062821
82	0.011916	7500	-0.186404	-72.249225
83	0.010240	7500	-0.171967	-72.421192
84	0.008714	7500	-0.156963	-72.578154
85	0.007334	7500	-0.141501	-72.719656
86	0.006093	7500	-0.128345	-72.848001
87	0.004988	7500	-0.115742	-72.963742
88	0.004013	7500	-0.100617	-73.064360
89	0.003162	7500	-0.088744	-73.153103
90	0.002430	7500	-0.074867	-73.227970
91	0.001810	7500	-0.066059	-73.294029
92	0.001296	7500	-0.053712	-73.347741
93	0.000882	7500	-0.044304	-73.392045
94	0.000559	7500	-0.034495	-73.426540
95	0.000320	7500	-0.024795	-73.451336
96	0.000156	7500	-0.017057	-73.468393
97	0.000057	7500	-0.010657	-73.479050
98	0.000010	7500	-0.004890	-73.483939
99	0.000000	7500	-0.001049	-73.484989
Log marginal likelihood:	-73.484989
