Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-0.153812	-0.153812
1	0.950747	7500	-0.151133	-0.304945
2	0.926679	7500	-0.149534	-0.454479
3	0.902980	7500	-0.146774	-0.601254
4	0.879648	7500	-0.145153	-0.746407
5	0.856682	7500	-0.145071	-0.891477
6	0.834079	7500	-0.141441	-1.032918
7	0.811838	7500	-0.140241	-1.173160
8	0.789957	7500	-0.137995	-1.311154
9	0.768433	7500	-0.136389	-1.447543
10	0.747266	7500	-0.135789	-1.583332
11	0.726452	7500	-0.132867	-1.716198
12	0.705989	7500	-0.131045	-1.847243
13	0.685877	7500	-0.129777	-1.977020
14	0.666112	7500	-0.128180	-2.105200
15	0.646693	7500	-0.127022	-2.232223
16	0.627618	7500	-0.124733	-2.356956
17	0.608884	7500	-0.123269	-2.480225
18	0.590490	7500	-0.121870	-2.602095
19	0.572433	7500	-0.119640	-2.721735
20	0.554712	7500	-0.119150	-2.840885
21	0.537324	7500	-0.116700	-2.957585
22	0.520268	7500	-0.115577	-3.073162
23	0.503540	7500	-0.115024	-3.188186
24	0.487139	7500	-0.111806	-3.299992
25	0.471063	7500	-0.111143	-3.411135
26	0.455310	7500	-0.111039	-3.522175
27	0.439877	7500	-0.108188	-3.630363
28	0.424762	7500	-0.107171	-3.737534
29	0.409963	7500	-0.107181	-3.844714
30	0.395478	7500	-0.102245	-3.946959
31	0.381305	7500	-0.105010	-4.051969
32	0.367440	7500	-0.103989	-4.155958
33	0.353883	7500	-0.099692	-4.255651
34	0.340630	7500	-0.101665	-4.357315
35	0.327680	7500	-0.098576	-4.455891
36	0.315030	7500	-0.097832	-4.553723
37	0.302677	7500	-0.097029	-4.650752
38	0.290619	7500	-0.095296	-4.746048
39	0.278855	7500	-0.096542	-4.842590
40	0.267381	7500	-0.093275	-4.935866
41	0.256195	7500	-0.094882	-5.030747
42	0.245294	7500	-0.093059	-5.123806
43	0.234677	7500	-0.092375	-5.216181
44	0.224340	7500	-0.090284	-5.306465
45	0.214281	7500	-0.089987	-5.396452
46	0.204498	7500	-0.092426	-5.488878
47	0.194988	7500	-0.088791	-5.577669
48	0.185749	7500	-0.090309	-5.667978
49	0.176777	7500	-0.090260	-5.758238
50	0.168070	7500	-0.089153	-5.847391
51	0.159626	7500	-0.088750	-5.936141
52	0.151441	7500	-0.086162	-6.022303
53	0.143514	7500	-0.087724	-6.110027
54	0.135841	7500	-0.090120	-6.200147
55	0.128420	7500	-0.086234	-6.286381
56	0.121247	7500	-0.090093	-6.376475
57	0.114320	7500	-0.085577	-6.462052
58	0.107637	7500	-0.088273	-6.550325
59	0.101193	7500	-0.089539	-6.639864
60	0.094986	7500	-0.090988	-6.730852
61	0.089014	7500	-0.085842	-6.816694
62	0.083273	7500	-0.087810	-6.904505
63	0.077760	7500	-0.099659	-7.004164
64	0.072472	7500	-0.095474	-7.099638
65	0.067406	7500	-0.094115	-7.193754
66	0.062558	7500	-0.101784	-7.295537
67	0.057926	7500	-0.094296	-7.389834
68	0.053506	7500	-0.095330	-7.485164
69	0.049295	7500	-0.099218	-7.584382
70	0.045289	7500	-0.098092	-7.682474
71	0.041485	7500	-0.098330	-7.780803
72	0.037880	7500	-0.102440	-7.883243
73	0.034469	7500	-0.106111	-7.989354
74	0.031250	7500	-0.103461	-8.092815
75	0.028218	7500	-0.108935	-8.201749
76	0.025370	7500	-0.112775	-8.314524
77	0.022702	7500	-0.113453	-8.427977
78	0.020209	7500	-0.117204	-8.545181
79	0.017889	7500	-0.121566	-8.666747
80	0.015736	7500	-0.126299	-8.793046
81	0.013746	7500	-0.129928	-8.922974
82	0.011916	7500	-0.126276	-9.049250
83	0.010240	7500	-0.122354	-9.171604
84	0.008714	7500	-0.117274	-9.288878
85	0.007334	7500	-0.117681	-9.406559
86	0.006093	7500	-0.118910	-9.525469
87	0.004988	7500	-0.114379	-9.639847
88	0.004013	7500	-0.106342	-9.746189
89	0.003162	7500	-0.100401	-9.846590
90	0.002430	7500	-0.092400	-9.938990
91	0.001810	7500	-0.090023	-10.029013
92	0.001296	7500	-0.072342	-10.101355
93	0.000882	7500	-0.062011	-10.163366
94	0.000559	7500	-0.051542	-10.214908
95	0.000320	7500	-0.039013	-10.253921
96	0.000156	7500	-0.028770	-10.282691
97	0.000057	7500	-0.016840	-10.299531
98	0.000010	7500	-0.008057	-10.307588
99	0.000000	7500	-0.001829	-10.309417
Log marginal likelihood:	-10.309417
